id_rs,rumah_sakit,tipe_rs,nama,ulasan,ulasan_casefolding,ulasan_tokenisasi,ulasan_normalisasi,ulasan_stopwords,ulasan_lemmatize,tokens,sentiment_score,sentiment,emotion_scores,emotion
3374123,RS Dr. Amino Gondohutomo,A,bam Rustano,Dokter untu og ngamukan,dokter untu og ngamukan,"['dokter', 'untu', 'og', 'ngamukan']","['dokter', 'untu', 'og', 'gampang mengamuk']","['untu', 'og', 'gampang mengamuk']","['untu', 'og', 'gampang', 'amuk']","['untu', 'og', 'gampang', 'amuk']",-3,negatif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Nike Dewanti,"Setelah saya berkonsultasi dengan yg lebih profesional, saya sangat terbantu. Saya mendapat pemahaman yang lebih baik 🥹 …",setelah saya berkonsultasi dengan yg lebih profesional saya sangat terbantu saya mendapat pemahaman yang lebih baik,"['setelah', 'saya', 'berkonsultasi', 'dengan', 'yg', 'lebih', 'profesional', 'saya', 'sangat', 'terbantu', 'saya', 'mendapat', 'pemahaman', 'yang', 'lebih', 'baik']","['setelah', 'saya', 'berkonsultasi', 'dengan', 'yang', 'lebih', 'profesional', 'saya', 'sangat', 'terbantu', 'saya', 'mendapat', 'pemahaman', 'yang', 'lebih', 'baik']","['berkonsultasi', 'profesional', 'terbantu', 'pemahaman']","['konsultasi', 'profesional', 'bantu', 'paham']","['konsultasi', 'profesional', 'bantu', 'paham']",2,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 3}",trust
3374123,RS Dr. Amino Gondohutomo,A,Claudia Noviantiy,Pelayanan sangat memuaskan,pelayanan sangat memuaskan,"['pelayanan', 'sangat', 'memuaskan']","['pelayanan', 'sangat', 'memuaskan']","['pelayanan', 'memuaskan']","['layan', 'muas']","['layan', 'muas']",5,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 0}",joy
3374123,RS Dr. Amino Gondohutomo,A,Ma'ruf Aji Nugroho,Itu keren,itu keren,"['itu', 'keren']","['itu', 'keren']",['keren'],['keren'],['keren'],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Muhammad Yuga Syahputra,Nais banget!!,nais banget,"['nais', 'banget']","['nais', 'banget']","['nais', 'banget']","['nais', 'banget']","['nais', 'banget']",1,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Aldino Setyoputro,teebaikkk👍🏻👍🏻 …,teebaikkk,['teebaikkk'],['teebaikkk'],['teebaikkk'],['teebaikkk'],['teebaikkk'],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Fiky Aditya,bagus pelayanannya,bagus pelayanannya,"['bagus', 'pelayanannya']","['bagus', 'pelayanannya']","['bagus', 'pelayanannya']","['bagus', 'layan']","['bagus', 'layan']",2,positif,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",anticipation
3374123,RS Dr. Amino Gondohutomo,A,Ahmatrifan Fathoni,"Pelayanan bagus, petugas ramah, lingkungan bersih dan fasikitas sangat memadai. terima kasih amino",pelayanan bagus petugas ramah lingkungan bersih dan fasikitas sangat memadai terimakasih amino,"['pelayanan', 'bagus', 'petugas', 'ramah', 'lingkungan', 'bersih', 'dan', 'fasikitas', 'sangat', 'memadai', 'terimakasih', 'amino']","['pelayanan', 'bagus', 'petugas', 'ramah', 'lingkungan', 'bersih', 'dan', 'fasikitas', 'sangat', 'memadai', 'terimakasih', 'amino']","['pelayanan', 'bagus', 'petugas', 'ramah', 'lingkungan', 'bersih', 'fasikitas', 'memadai', 'terimakasih']","['layan', 'bagus', 'tugas', 'ramah', 'lingkung', 'bersih', 'fasikitas', 'pada', 'terimakasih']","['layan', 'bagus', 'tugas', 'ramah', 'lingkung', 'bersih', 'fasikitas', 'pada', 'terimakasih']",5,positif,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 2, 'sadness': 0, 'surprise': 2, 'trust': 3}",trust
3374123,RS Dr. Amino Gondohutomo,A,Muhammad Zaim,Amino adalah yang terbaik.,amino adalah yang terbaik,"['amino', 'adalah', 'yang', 'terbaik']","['amino', 'adalah', 'yang', 'terbaik']",['terbaik'],['baik'],['baik'],2,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,alvina listiani,Luar biasa 🔥🔥 …,luar biasa,"['luar', 'biasa']","['luar', 'biasa']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
